url,locale,template_family,http_status,canonical_url,canonical_self,meta_robots,h1,word_count_unique_body,has_calculator,has_pdf_artefact,has_embed_widget,internal_links_in,internal_links_out,theme_color,last_updated_string
/,de,home,200,https://zeit-rechner.com/,true,"index, follow, max-snippet:-1, max-image-preview:large","Zeitrechner — Stunden, Zeiten & Countdowns",910,true,true,false,1327,31,#F5F3FB,
/404/,de,static,200,https://zeit-rechner.com/404/,true,"noindex, follow",404,50,false,true,false,0,15,#F5F3FB,
/alle-rechner/,de,static,200,https://zeit-rechner.com/alle-rechner/,true,"index, follow, max-snippet:-1, max-image-preview:large",Alle Rechner & Kategorien,196,false,true,false,670,50,#F5F3FB,
/datenschutz/,de,static,200,https://zeit-rechner.com/datenschutz/,true,"index, follow, max-snippet:-1, max-image-preview:large",Datenschutzerklärung,242,false,true,false,669,15,#F5F3FB,22. August 2026
/datum-in-x-tagen/,de,tool,200,https://zeit-rechner.com/datum-in-x-tagen/,true,"index, follow, max-snippet:-1, max-image-preview:large",Datum in X Tagen berechnen: Fristen & Wochentage,687,false,true,false,1,15,#F5F3FB,31. Mai 2026
/embed/arbeitszeit/,de,embed,200,,,"noindex, nofollow",,19,true,false,false,0,1,,
/embed/countdown/,de,embed,200,,,"noindex, nofollow",,16,true,false,false,0,1,,
/embed/differenz/,de,embed,200,,,"noindex, nofollow",,25,true,false,false,0,1,,
/en/,en,home,200,https://zeit-rechner.com/en/,true,"index, follow, max-snippet:-1, max-image-preview:large","Time Calculator — Hours, Work Hours & Countdowns",959,true,true,false,1326,31,#F5F3FB,
/en/about-us/,en,static,200,https://zeit-rechner.com/en/about-us/,true,"index, follow, max-snippet:-1, max-image-preview:large",About Us & Our Mission,395,false,true,false,657,15,#F5F3FB,
/en/all-calculators/,en,static,200,https://zeit-rechner.com/en/all-calculators/,true,"index, follow, max-snippet:-1, max-image-preview:large",All Calculators & Categories,195,false,true,false,658,43,#F5F3FB,
/en/days-until-all-saints-day/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-all-saints-day/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until All Saints&#39; Day?,315,true,true,false,2,22,#F5F3FB,
/en/days-until-ascension-day-2026/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-ascension-day-2026/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until Ascension Day 2027?,265,true,true,false,2,22,#F5F3FB,
/en/days-until-assumption-day/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-assumption-day/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until Assumption Day 2027?,264,true,true,false,2,22,#F5F3FB,
/en/days-until-black-friday-2026/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-black-friday-2026/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until Black Friday 2026?,306,true,true,false,6,21,#F5F3FB,
/en/days-until-boxing-day/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-boxing-day/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until 2nd Day of Christmas?,331,true,true,false,39,22,#F5F3FB,
/en/days-until-christmas-2026/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-christmas-2026/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until Christmas 2026?,349,true,true,false,39,22,#F5F3FB,
/en/days-until-christmas/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-christmas/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until Christmas?,327,true,true,false,658,22,#F5F3FB,
/en/days-until-columbus-day/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-columbus-day/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until Columbus Day?,239,true,true,false,3,22,#F5F3FB,
/en/days-until-corpus-christi-2026/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-corpus-christi-2026/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until Corpus Christi 2027?,255,true,true,false,2,22,#F5F3FB,
/en/days-until-diwali-2026/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-diwali-2026/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until Diwali 2026?,239,true,true,false,2,22,#F5F3FB,
/en/days-until-earth-day/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-earth-day/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until Earth Day?,239,true,true,false,2,22,#F5F3FB,
/en/days-until-easter-2026/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-easter-2026/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until Easter Sunday 2027?,311,true,true,false,10,22,#F5F3FB,
/en/days-until-easter-2027/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-easter-2027/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until Easter Sunday 2027?,310,true,true,false,3,22,#F5F3FB,
/en/days-until-easter-monday-2026/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-easter-monday-2026/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until Easter Monday 2027?,255,true,true,false,2,22,#F5F3FB,
/en/days-until-easter/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-easter/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until Easter Sunday?,286,true,true,false,4,22,#F5F3FB,
/en/days-until-eid-al-fitr-2026/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-eid-al-fitr-2026/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until Eid al-Fitr 2027?,271,true,true,false,2,22,#F5F3FB,
/en/days-until-epiphany/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-epiphany/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until Epiphany?,218,true,true,false,3,22,#F5F3FB,
/en/days-until-first-day-of-autumn/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-first-day-of-autumn/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until First Day of Autumn?,324,true,true,false,5,20,#F5F3FB,
/en/days-until-first-day-of-spring/,en,en-days-until,200,https://zeit-rechner.com/en/days-until-first-day-of-spring/,true,"index, follow, max-snippet:-1, max-image-preview:large",How Many Days Until First Day of Spring?,318,true,true,false,5,20,#F5F3FB,
